Cluster,Latitude,Longitude
20,51.517462,-0.08050299999999999
612,51.515625,-0.10018200000000001
21,51.517685,-0.10528499999999999
22,51.510913,-0.086975
23,51.517633000000004,-0.10759400000000001
23,51.517633000000004,-0.10759400000000001
20,51.517285,-0.08065399999999999
24,51.514075,-0.104426
20,51.51755,-0.080355
21,51.517596000000005,-0.10528900000000001
20,51.517727,-0.080203
25,51.516042999999996,-0.081716
25,51.515953,-0.081719
23,51.517808,-0.107298
21,51.517596000000005,-0.10528900000000001
21,51.517596000000005,-0.10528900000000001
26,51.517148999999996,-0.088876
22,51.510821,-0.086835
34,51.519901000000004,-0.09769800000000001
20,51.517727,-0.080203
27,51.513702,-0.076049
26,51.517148999999996,-0.088876
23,51.517635,-0.10773800000000001
28,51.513212,-0.09005
28,51.513209,-0.089906
25,51.515956,-0.081863
22,51.510642,-0.086842
29,51.51337,-0.088746
24,51.514075,-0.104426
25,51.515781,-0.08215900000000001
30,51.510745,-0.093179
21,51.517593,-0.105145
31,51.510282000000004,-0.086857
28,51.513296999999994,-0.089758
25,51.516042999999996,-0.081716
22,51.510819,-0.08669099999999999
